Number,Type,Name,Registration Point,Filename
1,script,Kall InitCards(),"(0, 0)",
2,script,Initialisering,"(0, 0)",
3,script,Nytt spill,"(0, 0)",
4,script,Sortering av kort,"(0, 0)",
5,script,S-rutiner,"(0, 0)",
6,script,J-rutiner,"(0, 0)",
7,script,J+S-rutiner,"(0, 0)",
8,script,"Go ""NyttSpill""","(0, 0)",
9,script,Din tur,"(0, 0)",
10,script,Min tur,"(0, 0)",
11,script,Kall NyttSpill(),"(0, 0)",
12,script,Kall SpillerSjekkOmHarKort(),"(0, 0)",
13,script,Kall SpillerBerOmKort(),"(0, 0)",
14,script,Kall SpillerTrekkKort(),"(0, 0)",
15,script,Kall SpillerFlyttKortet(),"(0, 0)",
16,script,Kall SpillerSjekkStikk1(),"(0, 0)",
17,script,Kall SjekkOmFerdig(),"(0, 0)",
18,script,Kall JosefineBerOmKort(),"(0, 0)",
19,script,Kall JosefineSjekkOmSpillerHarKort(),"(0, 0)",
20,script,Kall JosefineSjekkStikk1(),"(0, 0)",
21,script,Kall JosefineTrekkKort(),"(0, 0)",
22,script,Kall SpillerBehandleTrukketStikk(),"(0, 0)",
23,script,Kall JosefineHarIngenKort1(),"(0, 0)",
24,script,Kall SpillerTrekkKort2(),"(0, 0)",
25,script,Kall SpillerTrekkKort2(),"(0, 0)",
26,script,Kall SpillerFlytterKortet1(),"(0, 0)",
27,script,Kall SpillerFlytterKortet2(),"(0, 0)",
28,script,Skriv navn,"(0, 0)",
29,script,Vis korthånd,"(0, 0)",
30,script,Skjul bunke,"(0, 0)",
31,script,Intro,"(0, 0)",
32,script,Snd. loop (-1),"(0, 0)",
33,bitmap,OddeStikk,"(30, 23)",
34,bitmap,LikeStikk,"(23, 30)",
35,transition,,"(0, 0)",
36,script,Kall JosefineBerOmKort(),"(0, 0)",
37,script,"Go ""JVelger""","(0, 0)",
38,script,Go loop,"(0, 0)",
39,script,Sound loop,"(0, 0)",
40,script,Halt,"(0, 0)",
41,bitmap,,"(320, 240)",
42,field,AntSeirerJ,"(0, 0)",
43,field,AntSeirerS,"(0, 0)",
44,field,AntStikkJ,"(0, 0)",
45,field,AntStikkS,"(0, 0)",
46,field,Navn,"(0, 0)",
47,script,,"(0, 0)",
48,bitmap,Dot,"(1, 1)",
49,bitmap,Tilbake,"(21, 21)",
50,bitmap,Hjelpeknapp,"(21, 21)",
51,bitmap,,"(62, 81)",
52,bitmap,Munn,"(16, 6)",
53,filmLoop,Blinkers,"(36, 15)",
54,bitmap,,"(36, 15)",
55,bitmap,HArm,"(17, 25)",
56,bitmap,KortHånd,"(44, 27)",
