Number,Type,Name,Registration Point,Filename
1,script,Frame 1,"(0, 0)",
2,script,InitSkap1(),"(0, 0)",
3,script,InitSkap2(),"(0, 0)",
4,script,InitSkap3(),"(0, 0)",
5,script,Initialisering,"(0, 0)",
6,script,Init. skap,"(0, 0)",
7,script,Ta på.,"(0, 0)",
8,script,Feilmelding,"(0, 0)",
9,script,Ta av.,"(0, 0)",
10,script,"""Plaggnavn""","(0, 0)",
11,script,Sjekk drakt,"(0, 0)",
12,script,"Sjekk bukse, jakke","(0, 0)",
13,script,Sjekk hodeplagg,"(0, 0)",
14,script,Sjekk sko,"(0, 0)",
15,script,Div. procs.,"(0, 0)",
16,script,Hjelp,"(0, 0)",
17,script,Panel-procs.,"(0, 0)",
18,script,Utskrift,"(0, 0)",
19,field,Posisjoner,"(0, 0)",
20,field,Score-kanaler,"(0, 0)",
21,transition,,"(0, 0)",
22,script,Kall SjekkKontrollpanel(),"(0, 0)",
23,script,Go MainLoop,"(0, 0)",
24,script,Go loop,"(0, 0)",
25,script,Sound-loop,"(0, 0)",
26,script,Intro,"(0, 0)",
27,script,"Til ""MainLoop""","(0, 0)",
28,script,"Til ""Skap1""","(0, 0)",
29,script,"Til ""Skap2""","(0, 0)",
30,script,"Til ""Skap3""","(0, 0)",
31,bitmap,Rommet,"(320, 240)",
32,shape,PanelRect,"(0, 0)",
33,bitmap,Panel,"(321, 25)",
34,bitmap,,"(22, 21)",
35,bitmap,Til picnic,"(21, 21)",
36,bitmap,,"(21, 21)",
37,bitmap,,"(22, 21)",
38,bitmap,Hvit BG.,"(320, 240)",
39,bitmap,Dot,"(1, 1)",
40,bitmap,,"(180, 54)",
41,script,Til 1,"(0, 0)",
42,script,Åpne 1,"(0, 0)",
43,script,Lukk 1,"(0, 0)",
44,script,Til 2,"(0, 0)",
45,script,Åpne 2,"(0, 0)",
46,script,Lukk 2,"(0, 0)",
47,script,Til 3,"(0, 0)",
48,script,Åpne 3,"(0, 0)",
49,script,Lukk 3,"(0, 0)",
50,script,Neste,"(0, 0)",
51,script,mD 1 i 1,"(0, 0)",
52,script,mD 2 i 1,"(0, 0)",
53,script,mD 3 i 1,"(0, 0)",
54,script,mD 1 i 2,"(0, 0)",
55,script,mD 2 i 2,"(0, 0)",
56,script,mD 3 i 2,"(0, 0)",
57,script,mD 1 i 3,"(0, 0)",
58,script,mD 2 i 3,"(0, 0)",
59,script,mD 3 i 3,"(0, 0)",
61,bitmap,Doer2_1,"(201, 159)",
62,bitmap,Nr1,"(180, 158)",
63,bitmap,Nr2,"(180, 158)",
64,bitmap,Nr3,"(180, 158)",
65,bitmap,Nr4,"(180, 158)",
66,bitmap,Nr5,"(180, 158)",
67,bitmap,Nr6,"(180, 158)",
68,bitmap,Nr7,"(181, 158)",
69,bitmap,Nr8,"(180, 158)",
70,bitmap,List,"(201, 56)",
71,bitmap,Nr1,"(184, 75)",
72,bitmap,Nr2,"(218, 75)",
73,bitmap,Nr3,"(230, 74)",
74,bitmap,Nr4,"(227, 74)",
75,bitmap,Nr1,"(185, 119)",
76,bitmap,Nr2,"(224, 113)",
77,bitmap,Nr3,"(229, 113)",
78,bitmap,Nr4,"(237, 114)",
79,script,,"(0, 0)",
81,script,Kall TaAvHodeplagg(),"(0, 0)",
82,script,Kall TaAvDraktBak(),"(0, 0)",
83,script,Kall TaAvSko(),"(0, 0)",
84,script,Kall TaAvBukse(),"(0, 0)",
85,script,Kall TaAvDraktForan(),"(0, 0)",
86,script,Kall TaAvJakke(),"(0, 0)",
91,bitmap,Josefine,"(71, 131)",
92,bitmap,Undertoey,"(33, 47)",
93,bitmap,Munn,"(16, 6)",
94,bitmap,,"(22, 27)",
95,bitmap,,"(31, 18)",
96,bitmap,,"(24, 7)",
97,bitmap,,"(62, 57)",
101,bitmap,Hette1Av,"(32, 26)",
102,script,,"(0, 0)",
103,bitmap,Hette1Flytt,"(41, 35)",
104,bitmap,Hette1Paa,"(41, 35)",
106,bitmap,Hette2Av,"(37, 18)",
107,script,,"(0, 0)",
108,bitmap,Hette2Flytt,"(37, 35)",
109,bitmap,Hette2Paa,"(37, 35)",
111,bitmap,HodeP1Av,"(52, 24)",
112,script,,"(0, 0)",
113,bitmap,HodeP1Flytt,"(52, 24)",
114,bitmap,HodeP1Paa,"(57, 48)",
116,bitmap,HodeP2Av,"(27, 16)",
117,script,,"(0, 0)",
118,bitmap,HodeP2Flytt,"(43, 44)",
119,bitmap,HodeP2Paa,"(43, 31)",
121,bitmap,HjelmAv,"(39, 40)",
122,script,,"(0, 0)",
123,bitmap,HjelmFlytt,"(41, 41)",
124,bitmap,HjelmPaa,"(40, 41)",
126,bitmap,SydvestAv,"(33, 30)",
127,script,,"(0, 0)",
128,bitmap,SydvestFlytt,"(44, 47)",
129,bitmap,SydvestPaa,"(44, 44)",
131,bitmap,Pannebaand1Av,"(25, 10)",
132,script,,"(0, 0)",
133,bitmap,Pannebaand1Flytt,"(27, 10)",
134,bitmap,Pannebaand1Paa,"(28, 7)",
136,bitmap,Pannebaand2Av,"(31, 10)",
137,script,,"(0, 0)",
138,bitmap,Pannebaand2Flytt,"(34, 12)",
139,bitmap,Pannebaand2Paa,"(32, 23)",
141,bitmap,Pannebaand3Av,"(25, 14)",
142,script,,"(0, 0)",
143,bitmap,Pannebaand3Flytt,"(39, 18)",
144,bitmap,Pannebaand3Paa,"(39, 18)",
146,bitmap,ParykkAv,"(48, 27)",
147,script,,"(0, 0)",
148,bitmap,ParykkFlytt,"(58, 55)",
149,bitmap,ParykkPaa,"(57, 53)",
151,bitmap,HodeP5Av,"(61, 30)",
152,script,,"(0, 0)",
153,bitmap,HodeP5Flytt,"(70, 107)",
154,bitmap,HodeP5Paa,"(70, 107)",
155,bitmap,Maske,"(70, 107)",
161,bitmap,HodeP3Av,"(14, 12)",
162,script,,"(0, 0)",
163,bitmap,HodeP3Flytt,"(14, 13)",
164,bitmap,HodeP3Paa,"(14, 13)",
166,bitmap,HodeP4Av,"(14, 12)",
167,script,,"(0, 0)",
168,bitmap,HodeP4Flytt,"(14, 13)",
169,bitmap,HodeP4Paa,"(14, 13)",
171,bitmap,Bade_1Av,"(41, 47)",
172,script,,"(0, 0)",
173,bitmap,Bade_1Paa,"(41, 47)",
175,bitmap,Bade_2Av,"(32, 47)",
176,script,,"(0, 0)",
177,bitmap,Bade_2Paa,"(32, 47)",
181,bitmap,Bade_3Av,"(40, 47)",
182,script,,"(0, 0)",
183,bitmap,Bade_3Paa,"(40, 47)",
185,bitmap,Bade_4Av,"(42, 52)",
186,script,,"(0, 0)",
187,bitmap,Bade_4Paa,"(42, 52)",
191,bitmap,MCBukseAv,"(48, 64)",
192,script,,"(0, 0)",
193,bitmap,MCBuksePaa,"(46, 64)",
194,bitmap,MCBuksePaa.save,"(48, 64)",
195,bitmap,MCJakkeAv,"(61, 42)",
196,script,,"(0, 0)",
197,bitmap,MCJakkePaa,"(61, 41)",
201,bitmap,Kjole2Av,"(57, 39)",
202,script,,"(0, 0)",
203,bitmap,Kjole2Paa,"(57, 39)",
205,bitmap,Kjole3Av,"(56, 40)",
206,script,,"(0, 0)",
207,bitmap,Kjole3Paa,"(56, 40)",
211,bitmap,Kjole1Av,"(56, 68)",
212,script,,"(0, 0)",
213,bitmap,Kjole1Paa,"(56, 68)",
