Number,Type,Name,Registration Point,Filename
1,bitmap,Skjerm,"(320, 240)",
3,bitmap,Skjerm topp,"(320, 40)",
4,bitmap,Skjerm venstre,"(80, 120)",
5,bitmap,Skjerm høyre,"(80, 120)",
6,bitmap,Skjerm bunn,"(320, 80)",
9,script,Play done (mouse),"(0, 0)",
10,script,Stopp lyd,"(0, 0)",
11,script,Load stallen,"(0, 0)",
12,bitmap,Stallen,"(160, 120)",
13,sound,Hesteskritt,"(0, 0)",
14,bitmap,H1,"(94, 83)",
15,bitmap,H2,"(94, 83)",
16,bitmap,H3,"(94, 83)",
17,bitmap,H4,"(94, 83)",
18,bitmap,H0,"(94, 82)",
19,bitmap,Sal1,"(29, 33)",
20,bitmap,,"(33, 29)",
21,bitmap,,"(34, 34)",
22,bitmap,Musa,"(3, 7)",
23,sound,KLIKK,"(0, 0)",
24,bitmap,USal,"(37, 29)",
25,bitmap,Sal2,"(29, 33)",
26,bitmap,,"(14, 15)",
27,bitmap,MSal,"(41, 29)",
31,script,Load 1,"(0, 0)",
32,bitmap,1Himmel,"(160, 42)",
33,bitmap,1Sol,"(20, 19)",
34,bitmap,,"(48, 48)",
35,bitmap,,"(48, 48)",
36,bitmap,1Horisont,"(160, 6)",
37,bitmap,1Bak,"(195, 24)",
38,bitmap,1Midten,"(272, 53)",
39,bitmap,1Foran,"(422, 122)",
41,bitmap,Hest11,"(98, 116)",
42,bitmap,Hest12,"(101, 114)",
43,bitmap,Hest13,"(95, 115)",
44,bitmap,Hest14,"(102, 116)",
45,bitmap,Hest11X,"(98, 116)",
46,bitmap,Hest12X,"(101, 115)",
47,bitmap,Hest13X,"(94, 117)",
48,bitmap,Hest14X,"(102, 117)",
49,bitmap,B1,"(61, 18)",
50,bitmap,B2,"(47, 23)",
51,script,Load 2,"(0, 0)",
52,bitmap,2Himmel,"(160, 43)",
53,bitmap,2Sol,"(20, 20)",
54,bitmap,,"(48, 48)",
55,bitmap,,"(48, 49)",
56,bitmap,,"(47, 16)",
57,bitmap,2Horisont,"(160, 6)",
58,bitmap,2Bak,"(215, 31)",
59,bitmap,2Midten,"(304, 93)",
61,bitmap,Hest21,"(49, 57)",
62,bitmap,Hest22,"(51, 57)",
63,bitmap,Hest23,"(47, 57)",
64,bitmap,Hest24,"(51, 58)",
65,bitmap,Hest21X,"(49, 57)",
66,bitmap,Hest22X,"(51, 56)",
67,bitmap,Hest23X,"(47, 57)",
68,bitmap,Hest24X,"(51, 57)",
69,bitmap,2Foran,"(422, 101)",
71,script,Load 3,"(0, 0)",
72,bitmap,BG3,"(160, 120)",
73,bitmap,,"(26, 23)",
74,filmLoop,Sol_loop,"(34, 35)",
75,bitmap,3Sol,"(20, 20)",
76,bitmap,,"(34, 32)",
77,bitmap,,"(34, 33)",
78,bitmap,,"(55, 34)",
79,script,,"(0, 0)",
81,bitmap,Hest31,"(24, 29)",
82,bitmap,Hest32,"(25, 29)",
83,bitmap,Hest33,"(24, 29)",
84,bitmap,Hest34,"(25, 29)",
90,script,Load silhuett,"(0, 0)",
91,bitmap,50_1,"(13, 5)",
92,bitmap,,"(11, 4)",
93,bitmap,,"(17, 5)",
94,bitmap,,"(12, 5)",
95,bitmap,45_1,"(12, 4)",
96,bitmap,,"(9, 4)",
97,bitmap,,"(16, 4)",
98,bitmap,,"(10, 4)",
99,bitmap,40_1,"(10, 3)",
100,bitmap,,"(9, 4)",
101,bitmap,,"(14, 3)",
102,bitmap,,"(9, 3)",
103,bitmap,35_1,"(9, 3)",
104,bitmap,,"(7, 3)",
105,bitmap,,"(12, 3)",
106,bitmap,,"(8, 3)",
107,bitmap,30_1,"(7, 2)",
108,bitmap,,"(6, 2)",
109,bitmap,,"(10, 2)",
110,bitmap,,"(6, 2)",
111,bitmap,25_1,"(6, 1)",
112,bitmap,,"(5, 1)",
113,bitmap,,"(8, 2)",
114,bitmap,,"(5, 2)",
115,bitmap,20_1,"(5, 2)",
116,bitmap,,"(4, 1)",
117,bitmap,,"(6, 1)",
118,bitmap,,"(4, 1)",
119,bitmap,15_1,"(3, 2)",
120,bitmap,,"(3, 2)",
121,bitmap,,"(4, 2)",
122,bitmap,15_4,"(3, 2)",
123,script,Play done (frame),"(0, 0)",
124,script,Sound loop,"(0, 0)",
133,sound,RI_N06,"(0, 0)",E:\Projects\Josefine paa ferie decompiled\CD-Files\Installer Data\MOVIES\DE_\RI_N06.AIF
134,sound,RI_S06,"(0, 0)",E:\Projects\Josefine paa ferie decompiled\CD-Files\Installer Data\MOVIES\DE_\RI_S06.AIF
