Number,Type,Name,Registration Point,Filename
1,bitmap,,"(328, 274)",
2,shape,ToApple,"(0, 0)",
3,shape,ToPizza,"(0, 0)",
4,shape,ToPancake,"(0, 0)",
5,shape,ToChokolate,"(0, 0)",
6,bitmap,,"(72, 132)",
7,bitmap,Pancake,"(0, 256)",
8,bitmap,Chokolade,"(4, 265)",
9,bitmap,Pizza,"(5, 298)",
10,bitmap,Applecake,"(5, 273)",
11,bitmap,mainscene,"(377, 284)",
12,bitmap,,"(23, 21)",
13,bitmap,Quit,"(22, 21)",
14,bitmap,,"(21, 21)",
15,bitmap,Help,"(22, 21)",
16,bitmap,,"(22, 21)",
17,bitmap,,"(56, 106)",
18,bitmap,,"(139, 216)",
19,transition,,"(0, 0)",
20,bitmap,,"(87, 56)",
21,bitmap,Stekeplate,"(82, 25)",
22,bitmap,kakeform,"(25, 15)",
23,bitmap,Pan1,"(20, 37)",
24,bitmap,FilledForm,"(25, 15)",
25,bitmap,Fake,"(0, 0)",
26,script,,"(0, 0)",
27,script,,"(0, 0)",
28,script,done Help,"(0, 0)",
29,bitmap,,"(67, 167)",
30,script,Go QUIT,"(0, 0)",
31,bitmap,Flourbag,"(25, 30)",
32,bitmap,Flourbag1,"(43, 59)",
33,bitmap,Flourbag2,"(41, 59)",
34,filmLoop,FlourLoop,"(37, 40)",
35,bitmap,Cocoa,"(14, 19)",
36,bitmap,kakao 1,"(22, 34)",
37,bitmap,kakao 2,"(22, 33)",
38,filmLoop,CocoaLoop,"(22, 34)",
39,bitmap,sausage,"(27, 9)",
40,bitmap,cheese,"(14, 16)",
41,bitmap,Egg4,"(21, 15)",
42,bitmap,Egg,"(12, 6)",
43,bitmap,Eggshell,"(12, 10)",
44,bitmap,Apple,"(11, 12)",
45,bitmap,Milk,"(18, 25)",
46,bitmap,MilkMoving,"(26, 26)",
47,bitmap,Milk1,"(39, 55)",
48,bitmap,Milk2,"(42, 55)",
49,filmLoop,MilkLoop,"(30, 35)",
51,bitmap,Sugar,"(11, 24)",
52,bitmap,sukker 1,"(23, 34)",
53,bitmap,sukker 2,"(23, 34)",
54,filmLoop,sugarloop,"(23, 34)",
55,bitmap,tomato,"(14, 20)",
56,bitmap,tomat1,"(21, 48)",
57,bitmap,tomat2,"(21, 40)",
58,filmLoop,tomatoLoop,"(21, 48)",
59,shape,Avbryt,"(0, 0)",
60,shape,Tilbake,"(0, 0)",
61,bitmap,Cinnamon,"(11, 18)",
62,bitmap,cinnamon1,"(154, 0)",
63,bitmap,cinnamon2,"(18, 37)",
64,filmLoop,cinnamonLoop,"(18, 43)",
65,bitmap,Butter,"(15, 9)",
66,bitmap,Butter1,"(26, 14)",
67,bitmap,Butter2,"(26, 14)",
68,bitmap,Butter3,"(33, -20)",
69,filmLoop,ButterLoop,"(26, 28)",
70,script,,"(0, 0)",
71,bitmap,bPowder,"(10, 16)",
72,bitmap,b.pulver 1,"(15, 31)",
73,bitmap,b.pulver 2,"(16, 29)",
74,filmLoop,bPowderLoop,"(16, 31)",
75,bitmap,FilledForm1,"(25, 16)",
76,bitmap,FormC,"(25, 16)",
77,bitmap,FormA,"(25, 16)",
78,bitmap,FormAC,"(25, 15)",
79,bitmap,(pølse),"(25, 11)",
80,bitmap,(tomat),"(28, 13)",
81,bitmap,pizzaT,"(82, 25)",
82,bitmap,pizzaS,"(82, 25)",
83,bitmap,pizzaCS,"(82, 25)",
84,bitmap,pizzaST,"(82, 25)",
85,bitmap,pizzaCT,"(82, 25)",
86,bitmap,pizzaALL,"(81, 25)",
87,bitmap,pizza2,"(82, 25)",
88,bitmap,pizzaC,"(82, 25)",
89,bitmap,,"(33, 13)",
90,bitmap,pannefat,"(32, 11)",
91,bitmap,panna,"(60, 16)",
92,bitmap,Pan2,"(60, 16)",
93,bitmap,,"(56, 25)",
94,bitmap,,"(56, 25)",
95,bitmap,løfter1,"(60, 15)",
96,bitmap,,"(23, 13)",
97,bitmap,,"(21, 15)",
98,bitmap,,"(16, 23)",
99,bitmap,,"(17, 25)",
100,bitmap,,"(26, 14)",
101,bitmap,,"(33, 8)",
102,bitmap,Pancake1,"(27, 7)",
103,bitmap,Pancake2,"(28, 7)",
104,bitmap,Pancake3,"(28, 7)",
105,bitmap,Bowl1,"(24, 16)",
106,bitmap,Bowl1X,"(24, 16)",
107,bitmap,Bowl2,"(34, 26)",
108,bitmap,Bowl2X,"(34, 26)",
109,bitmap,BrownBowl,"(34, 26)",
