Number,Type,Name,Registration Point,Filename
1,transition,,"(0, 0)",
2,shape,Avbryt,"(0, 0)",
3,script,Frame1,"(0, 0)",
4,script,,"(0, 0)",
5,script,,"(0, 0)",
7,script,Puppetsound,"(0, 0)",
8,script,Sound loop,"(0, 0)",
10,bitmap,Pinjata-logo,"(50, 41)",
11,bitmap,,"(202, 237)",
12,filmLoop,Blinking,"(95, 49)",
13,bitmap,Blink2,"(95, 49)",
14,filmLoop,Vinking,"(56, 62)",
15,bitmap,MVink,"(47, 56)",
16,bitmap,VVink,"(54, 60)",
17,bitmap,HVink,"(48, 55)",
18,bitmap,Snakk,"(92, 37)",
19,bitmap,Blink1,"(48, 49)",
20,script,,"(0, 0)",
21,script,To Picnic,"(0, 0)",
23,sound,INTRO1,"(0, 0)",
24,sound,INTRO2,"(0, 0)",
25,sound,INTRO3,"(0, 0)",
31,bitmap,N05,"(7, 5)",
32,bitmap,N10,"(13, 10)",
33,bitmap,N15,"(20, 14)",
34,bitmap,N20,"(27, 19)",
35,bitmap,N25,"(34, 24)",
36,bitmap,N30,"(41, 29)",
37,bitmap,N35,"(47, 34)",
38,bitmap,N40,"(54, 39)",
39,bitmap,N45,"(61, 44)",
40,bitmap,N50,"(68, 49)",
41,bitmap,N55,"(75, 54)",
42,bitmap,N60,"(81, 59)",
43,bitmap,N65,"(88, 63)",
44,bitmap,N70,"(95, 68)",
45,bitmap,N75,"(102, 73)",
46,bitmap,N80,"(109, 78)",
47,bitmap,N85,"(115, 83)",
48,bitmap,N90,"(122, 88)",
49,bitmap,N95,"(129, 93)",
50,bitmap,N100,"(136, 98)",
51,bitmap,N1,"(93, 30)",
52,bitmap,N2,"(86, 30)",
61,bitmap,D05,"(7, 5)",
62,bitmap,D10,"(13, 10)",
63,bitmap,D15,"(20, 14)",
64,bitmap,D20,"(27, 19)",
65,bitmap,D25,"(34, 24)",
66,bitmap,D30,"(41, 29)",
67,bitmap,D35,"(47, 34)",
68,bitmap,D40,"(54, 39)",
69,bitmap,D45,"(61, 44)",
70,bitmap,D50,"(68, 49)",
71,bitmap,D55,"(75, 54)",
72,bitmap,D60,"(81, 59)",
73,bitmap,D65,"(88, 63)",
74,bitmap,D70,"(95, 68)",
75,bitmap,N75,"(102, 73)",
76,bitmap,D80,"(109, 78)",
77,bitmap,D85,"(115, 83)",
78,bitmap,D90,"(122, 88)",
79,bitmap,D95,"(129, 93)",
80,bitmap,D100,"(136, 98)",
81,bitmap,D1,"(93, 30)",
82,bitmap,D2,"(86, 30)",
91,bitmap,S05,"(7, 5)",
92,bitmap,S10,"(13, 10)",
93,bitmap,S15,"(20, 16)",
94,bitmap,S20,"(27, 21)",
95,bitmap,S25,"(33, 26)",
96,bitmap,S30,"(40, 31)",
97,bitmap,S35,"(47, 36)",
98,bitmap,S40,"(53, 41)",
99,bitmap,S45,"(60, 46)",
100,bitmap,S50,"(66, 52)",
101,bitmap,S55,"(73, 57)",
102,bitmap,S60,"(80, 62)",
103,bitmap,S65,"(87, 67)",
104,bitmap,S70,"(92, 72)",
105,bitmap,S75,"(99, 77)",
106,bitmap,S80,"(106, 83)",
107,bitmap,S85,"(113, 88)",
108,bitmap,S90,"(119, 93)",
109,bitmap,S95,"(126, 98)",
110,bitmap,S100,"(133, 103)",
111,bitmap,S1,"(141, 30)",
112,bitmap,S2,"(134, 30)",
121,bitmap,F05,"(6, 5)",
122,bitmap,F10,"(13, 10)",
123,bitmap,F15,"(20, 14)",
124,bitmap,F20,"(27, 19)",
125,bitmap,F25,"(34, 24)",
126,bitmap,F30,"(40, 29)",
127,bitmap,F35,"(47, 33)",
128,bitmap,F40,"(53, 38)",
129,bitmap,F45,"(60, 43)",
130,bitmap,F50,"(67, 48)",
131,bitmap,F55,"(73, 52)",
132,bitmap,F60,"(80, 57)",
133,bitmap,F65,"(87, 62)",
134,bitmap,F70,"(93, 67)",
135,bitmap,F75,"(100, 72)",
136,bitmap,F80,"(107, 77)",
137,bitmap,F85,"(114, 82)",
138,bitmap,F90,"(120, 87)",
139,bitmap,F95,"(127, 91)",
140,bitmap,F100,"(133, 96)",
141,bitmap,F1,"(113, 32)",
142,bitmap,F2,"(113, 32)",
151,bitmap,E05,"(6, 5)",
152,bitmap,E10,"(13, 10)",
153,bitmap,E15,"(20, 15)",
154,bitmap,E20,"(27, 20)",
155,bitmap,E25,"(34, 25)",
156,bitmap,E30,"(40, 30)",
157,bitmap,E35,"(47, 35)",
158,bitmap,E40,"(53, 39)",
159,bitmap,E45,"(60, 44)",
160,bitmap,E50,"(67, 49)",
161,bitmap,E55,"(73, 53)",
162,bitmap,E60,"(80, 58)",
163,bitmap,E65,"(87, 63)",
164,bitmap,E70,"(93, 68)",
165,bitmap,E75,"(100, 73)",
166,bitmap,E80,"(107, 78)",
167,bitmap,E85,"(114, 83)",
168,bitmap,E90,"(120, 88)",
169,bitmap,E95,"(127, 93)",
170,bitmap,E100,"(134, 98)",
171,bitmap,E1,"(122, 35)",
172,bitmap,E2,"(122, 35)",
173,bitmap,E3,"(122, 35)",
189,sound,IN_N01,"(0, 0)",E:\Projects\Josefine paa ferie decompiled\CD-Files\Installer Data\MOVIES\IN_\IN_N01.AIF
190,sound,IN_N02,"(0, 0)",E:\Projects\Josefine paa ferie decompiled\CD-Files\Installer Data\MOVIES\IN_\IN_N02.AIF
