Number,Type,Name,Registration Point,Filename
1,script,Start,"(0, 0)",
2,script,Halt,"(0, 0)",
3,script,,"(0, 0)",
4,script,Go loop,"(0, 0)",
5,script,Sound-loop,"(0, 0)",
6,script,,"(0, 0)",
7,script,Hjelpetekst,"(0, 0)",
8,script,Trykk på knapp,"(0, 0)",
9,script,Mot høyre,"(0, 0)",
10,script,Mot venstre,"(0, 0)",
11,script,InitJump,"(0, 0)",
12,script,InitNyttSpill,"(0, 0)",
13,script,Fortsett,"(0, 0)",
14,script,Tegn objekter,"(0, 0)",
15,script,Spill-rutiner,"(0, 0)",
16,script,Flytt objekter,"(0, 0)",
17,script,BG-rutiner,"(0, 0)",
18,script,Play done 1,"(0, 0)",
19,script,Play done 2,"(0, 0)",
20,script,Play done 3,"(0, 0)",
21,script,Er i mål,"(0, 0)",
22,script,Skjul puppet-fjær,"(0, 0)",
23,transition,,"(0, 0)",
24,script,Kall FortsettSpill(),"(0, 0)",
25,script,Kall FortsettSpill()++,"(0, 0)",
26,script,"Til ""MainLoop""","(0, 0)",
27,script,"Go ""NyttSpill""","(0, 0)",
28,script,,"(0, 0)",
29,script,,"(0, 0)",
30,script,,"(0, 0)",
31,bitmap,,"(256, 176)",
32,bitmap,,"(0, 0)",
33,bitmap,Kant,"(32, 176)",
34,bitmap,,"(320, 32)",
35,bitmap,Topp,"(320, 32)",
36,bitmap,Kant,"(32, 176)",
37,shape,Knapp-rektangel,"(0, 0)",
38,script,Vent på lyden,"(0, 0)",
39,script,Masing,"(0, 0)",
40,script,Spill 11,"(0, 0)",
41,bitmap,Hopp3,"(25, 25)",
42,bitmap,Hopp2,"(25, 25)",
43,bitmap,Hopp1,"(25, 25)",
44,bitmap,Hopp-1,"(25, 25)",
45,bitmap,Hopp-2,"(25, 25)",
46,bitmap,Hopp-3,"(25, 25)",
47,bitmap,JosefineV,"(22, 51)",
48,bitmap,JosefineH,"(22, 51)",
49,bitmap,MotVenstre,"(23, 48)",
50,bitmap,MotHoeyre,"(23, 48)",
51,bitmap,OBJ_1_01,"(0, 0)",
52,bitmap,OBJ_1_02,"(0, 0)",
53,bitmap,OBJ_1_03,"(0, 0)",
54,bitmap,OBJ_1_04,"(0, 0)",
55,bitmap,OBJ_1_05,"(0, 0)",
56,bitmap,OBJ_1_06,"(0, 0)",
57,bitmap,OBJ_1_07,"(0, 0)",
58,bitmap,OBJ_1_08,"(0, 0)",
59,bitmap,OBJ_1_09,"(0, 0)",
60,bitmap,OBJ_2,"(0, 0)",
61,bitmap,OBJ_3_01,"(0, 0)",
62,bitmap,OBJ_3_02,"(0, 0)",
63,script,"Stop ""Jubelbrus""","(0, 0)",
64,bitmap,Rake1,"(45, 6)",
65,bitmap,,"(5, 38)",
66,bitmap,,"(5, 38)",
67,script,startTimer,"(0, 0)",
68,bitmap,save,"(320, 32)",
69,bitmap,Dot,"(8, 8)",
70,sound,PLING,"(0, 0)",
71,bitmap,D1,"(14, 19)",
72,bitmap,D2,"(14, 19)",
73,bitmap,D3,"(14, 19)",
74,bitmap,D4,"(14, 19)",
75,bitmap,D5,"(14, 19)",
76,bitmap,D6,"(14, 19)",
77,bitmap,D7,"(14, 19)",
78,bitmap,D8,"(14, 19)",
79,bitmap,D9,"(14, 19)",
80,bitmap,D0,"(14, 19)",
81,script,Ballong,"(0, 0)",
82,bitmap,B50,"(17, 53)",
83,bitmap,B20,"(17, 53)",
84,bitmap,B100,"(17, 53)",
85,bitmap,B80,"(17, 53)",
86,sound,GLASS,"(0, 0)",
87,bitmap,,"(41, 63)",
88,bitmap,,"(0, 0)",
89,bitmap,,"(32, 23)",
90,bitmap,,"(256, 176)",
91,bitmap,JosefineV.mod,"(22, 51)",
92,bitmap,JosefineH.mod,"(22, 51)",
93,bitmap,MotVenstre.mod,"(23, 48)",
94,bitmap,MotHoeyre.mod,"(23, 48)",
95,bitmap,JosefineV.SAVE,"(22, 51)",
96,bitmap,JosefineH.SAVE,"(22, 51)",
97,bitmap,MotVenstre.SAVE,"(24, 48)",
98,bitmap,MotHoeyre.SAVE,"(23, 48)",
99,script,Fadeout 2-60,"(0, 0)",
100,bitmap,TheHero,"(28, 52)",
101,sound,SPJONG1,"(0, 0)",
102,sound,SPJONG2,"(0, 0)",
103,sound,SPJONG3,"(0, 0)",
104,sound,SPJONG4,"(0, 0)",
105,bitmap,,"(256, 119)",
106,bitmap,Podium,"(200, 39)",
107,bitmap,,"(59, 124)",
108,bitmap,,"(57, 134)",
109,bitmap,,"(71, 130)",
110,bitmap,Muinj,"(16, 6)",
111,filmLoop,Vimpler,"(220, 57)",
112,bitmap,,"(1, 1)",
113,bitmap,,"(11, 11)",
114,bitmap,,"(19, 16)",
115,bitmap,,"(30, 27)",
116,bitmap,,"(71, 50)",
117,bitmap,,"(1, 1)",
118,bitmap,,"(11, 11)",
119,bitmap,,"(19, 16)",
120,bitmap,,"(30, 27)",
121,bitmap,,"(23, 26)",
122,bitmap,,"(21, 26)",
123,bitmap,,"(15, 23)",
124,bitmap,,"(12, 24)",
125,bitmap,,"(14, 24)",
126,bitmap,,"(22, 29)",
127,bitmap,,"(20, 34)",
128,bitmap,,"(15, 30)",
129,bitmap,,"(12, 31)",
130,bitmap,,"(11, 30)",
131,bitmap,,"(23, 26)",
132,bitmap,,"(21, 26)",
133,bitmap,,"(15, 23)",
134,bitmap,,"(12, 24)",
135,bitmap,,"(14, 24)",
136,bitmap,,"(22, 29)",
137,bitmap,,"(20, 34)",
138,bitmap,,"(15, 30)",
139,bitmap,,"(12, 31)",
140,bitmap,,"(11, 30)",
141,bitmap,,"(23, 26)",
142,bitmap,,"(21, 26)",
143,bitmap,,"(15, 23)",
144,bitmap,,"(12, 24)",
145,bitmap,,"(14, 24)",
146,bitmap,,"(22, 29)",
147,bitmap,,"(20, 34)",
148,bitmap,,"(15, 30)",
149,bitmap,,"(12, 31)",
150,bitmap,,"(11, 30)",
151,bitmap,,"(24, 23)",
152,script,"To ""Podium""","(0, 0)",
