Number,Type,Name,Registration Point,Filename
1,bitmap,,"(320, 240)",
2,bitmap,,"(320, 156)",
3,bitmap,fakeSprite,"(0, 0)",
4,bitmap,,"(34, 26)",
5,bitmap,Quit,"(22, 21)",
6,bitmap,Til hovedscene,"(21, 21)",
7,bitmap,Help,"(22, 21)",
8,bitmap,goStart,"(23, 21)",
9,bitmap,white,"(246, 51)",
10,bitmap,,"(107, 59)",
11,bitmap,,"(15, 6)",
12,filmLoop,blinking,"(48, 22)",
13,bitmap,,"(48, 22)",
14,field,JPoints,"(0, 0)",
15,field,MPoints,"(0, 0)",
16,field,Name,"(0, 0)",
17,bitmap,,"(66, 111)",
18,bitmap,,"(43, 20)",
19,transition,,"(0, 0)",
21,bitmap,Brett1,"(109, 139)",
22,bitmap,1-1,"(35, 45)",
23,bitmap,1-2,"(35, 45)",
24,bitmap,1-3,"(35, 45)",
25,bitmap,1-4,"(35, 45)",
26,bitmap,1-5,"(35, 45)",
27,bitmap,1-6,"(35, 45)",
28,bitmap,1-7,"(35, 45)",
29,bitmap,1-8,"(35, 45)",
30,bitmap,1-9,"(35, 45)",
31,bitmap,Brett2,"(109, 139)",
32,bitmap,2-1,"(35, 45)",
33,bitmap,2-2,"(35, 45)",
34,bitmap,2-3,"(35, 45)",
35,bitmap,2-4,"(35, 45)",
36,bitmap,2-5,"(35, 45)",
37,bitmap,2-6,"(35, 45)",
38,bitmap,2-7,"(35, 45)",
39,bitmap,2-8,"(35, 45)",
40,bitmap,2-9,"(35, 45)",
41,bitmap,Brett3,"(109, 139)",
42,bitmap,3-1,"(35, 45)",
43,bitmap,3-2,"(35, 45)",
44,bitmap,3-3,"(35, 45)",
45,bitmap,3-4,"(35, 45)",
46,bitmap,3-5,"(35, 45)",
47,bitmap,3-6,"(35, 45)",
48,bitmap,3-7,"(35, 45)",
49,bitmap,3-8,"(35, 45)",
50,bitmap,3-9,"(35, 45)",
51,bitmap,Brett4,"(109, 139)",
52,bitmap,4-1,"(35, 45)",
53,bitmap,4-2,"(35, 45)",
54,bitmap,4-3,"(35, 45)",
55,bitmap,4-4,"(35, 45)",
56,bitmap,4-5,"(35, 45)",
57,bitmap,4-6,"(35, 45)",
