Number,Type,Name,Registration Point,Filename
1,script,Enter 1,"(0, 0)",
2,script,InitMaze,"(0, 0)",
3,script,Procs.,"(0, 0)",
4,script,,"(0, 0)",
5,script,FileIO,"(0, 0)",
6,field,,"(0, 0)",
7,script,Reset,"(0, 0)",
8,script,Go loop,"(0, 0)",
9,script,Sound-loop,"(0, 0)",
10,script,Play done,"(0, 0)",
11,bitmap,Panel,"(0, 0)",
12,bitmap,,"(0, 0)",
13,bitmap,,"(30, 56)",
14,bitmap,Munn,"(14, 5)",
15,bitmap,,"(31, 56)",
16,bitmap,"Gammel, ikke lenger i bruk","(30, 56)",
17,script,Prøv gjenstand,"(0, 0)",
18,script,Tilbake-hånd,"(0, 0)",
19,bitmap,Tilbake,"(21, 21)",
20,bitmap,,"(22, 21)",
21,bitmap,V1,"(26, 56)",
22,bitmap,V2,"(24, 55)",
23,bitmap,V3,"(24, 56)",
24,bitmap,V4,"(27, 56)",
25,bitmap,V5,"(24, 56)",
26,bitmap,V6,"(24, 57)",
27,transition,,"(0, 0)",
28,script,Hjelp(0),"(0, 0)",
29,script,Hjelp(-1),"(0, 0)",
31,bitmap,H1,"(26, 57)",
32,bitmap,H2,"(24, 57)",
33,bitmap,H3,"(24, 57)",
34,bitmap,H4,"(27, 57)",
35,bitmap,H5,"(24, 57)",
36,bitmap,H6,"(24, 58)",
37,shape,Nedover,"(0, 0)",
38,shape,Innover,"(0, 0)",
39,shape,Venstre,"(0, 0)",
40,shape,Høyre,"(0, 0)",
41,bitmap,NedPil,"(14, 16)",
42,bitmap,,"(14, 16)",
43,bitmap,,"(16, 14)",
44,bitmap,,"(16, 14)",
45,script,Sjekk mus-pos,"(0, 0)",
46,script,Go loop++,"(0, 0)",
47,script,Sound-loop++,"(0, 0)",
48,script,,"(0, 0)",
51,bitmap,,"(19, 39)",
52,bitmap,,"(19, 40)",
53,bitmap,,"(20, 41)",
54,bitmap,,"(21, 40)",
55,bitmap,,"(19, 40)",
56,bitmap,,"(21, 44)",
57,bitmap,,"(21, 44)",
58,bitmap,,"(22, 45)",
59,bitmap,,"(23, 44)",
60,bitmap,,"(22, 45)",
61,bitmap,,"(23, 47)",
62,bitmap,,"(23, 48)",
63,bitmap,,"(24, 49)",
64,bitmap,,"(24, 48)",
65,bitmap,,"(23, 48)",
66,bitmap,,"(24, 50)",
67,bitmap,,"(25, 51)",
68,bitmap,,"(25, 51)",
69,bitmap,,"(26, 51)",
70,bitmap,,"(25, 51)",
71,bitmap,,"(25, 52)",
72,bitmap,,"(25, 52)",
73,bitmap,,"(26, 53)",
74,bitmap,,"(26, 52)",
75,bitmap,,"(26, 53)",
76,bitmap,,"(26, 53)",
77,bitmap,,"(26, 53)",
78,bitmap,,"(27, 54)",
79,bitmap,,"(27, 53)",
80,bitmap,,"(26, 54)",
81,bitmap,,"(27, 52)",
82,bitmap,,"(25, 53)",
83,bitmap,,"(26, 54)",
84,bitmap,,"(27, 52)",
85,bitmap,,"(25, 52)",
86,bitmap,,"(26, 51)",
87,bitmap,,"(25, 52)",
88,bitmap,,"(25, 53)",
89,bitmap,,"(26, 51)",
90,bitmap,,"(24, 51)",
91,bitmap,,"(26, 50)",
92,bitmap,,"(24, 51)",
93,bitmap,,"(25, 51)",
94,bitmap,,"(25, 50)",
95,bitmap,,"(23, 48)",
96,bitmap,,"(24, 47)",
97,bitmap,,"(23, 48)",
98,bitmap,,"(23, 48)",
99,bitmap,,"(24, 47)",
100,bitmap,,"(21, 44)",
101,bitmap,,"(22, 43)",
102,bitmap,,"(21, 44)",
103,bitmap,,"(21, 44)",
104,bitmap,,"(22, 43)",
105,bitmap,,"(19, 40)",
106,bitmap,,"(20, 39)",
107,bitmap,,"(19, 40)",
108,bitmap,,"(19, 40)",
109,bitmap,,"(20, 39)",
111,script,Vandrer 1,"(0, 0)",
112,script,Vandrer 2,"(0, 0)",
113,script,Vandrer 3,"(0, 0)",
114,bitmap,Tunell 1,"(0, 0)",
115,bitmap,Tunell 2,"(0, 0)",
116,bitmap,Rett01,"(0, 0)",
117,bitmap,Rett04,"(320, 208)",
181,bitmap,Inngang,"(0, 0)",
182,script,Skjul alle gjenstander,"(0, 0)",
191,bitmap,02Pusle,"(0, 0)",
192,bitmap,,"(43, 14)",
