Number,Type,Name,Registration Point,Filename
1,script,Init-procs.,"(0, 0)",
2,script,Velg spill,"(0, 0)",
3,script,Div. procs.,"(0, 0)",
4,script,Trykk på kort,"(0, 0)",
5,script,A-procs.,"(0, 0)",
6,script,B-procs.,"(0, 0)",
7,script,C-procs.,"(0, 0)",
8,script,D-procs.,"(0, 0)",
9,script,Bytt kort,"(0, 0)",
10,transition,,"(0, 0)",
11,bitmap,BG,"(0, 0)",
12,bitmap,Bakside,"(43, 54)",
13,bitmap,Oere,"(43, 54)",
14,script,Go loop,"(0, 0)",
15,script,Init. memory,"(0, 0)",
16,script,Init. maze-memory,"(0, 0)",
17,script,Til labyrint,"(0, 0)",
18,script,Nye kort,"(0, 0)",
19,script,Play done,"(0, 0)",
21,bitmap,,"(55, 14)",
22,bitmap,Til picnic,"(21, 21)",
23,bitmap,,"(21, 21)",
24,bitmap,,"(22, 21)",
25,script,,"(0, 0)",
31,bitmap,D0,"(9, 10)",
32,bitmap,D1,"(5, 10)",
33,bitmap,D2,"(7, 10)",
34,bitmap,D3,"(8, 10)",
35,bitmap,D4,"(8, 10)",
36,bitmap,D5,"(7, 10)",
37,bitmap,D6,"(8, 10)",
38,bitmap,D7,"(7, 10)",
39,bitmap,D8,"(8, 10)",
40,bitmap,D9,"(8, 10)",
41,sound,Galt1,"(0, 0)",
42,sound,Galt2,"(0, 0)",
43,sound,Galt3,"(0, 0)",
44,sound,Galt4,"(0, 0)",
45,sound,Galt5,"(0, 0)",
46,sound,Galt6,"(0, 0)",
47,sound,Galt7,"(0, 0)",
48,sound,Galt8,"(0, 0)",
49,sound,Galt9,"(0, 0)",
50,sound,Galt10,"(0, 0)",
51,sound,Galt11,"(0, 0)",
52,sound,Galt12,"(0, 0)",
53,sound,Galt13,"(0, 0)",
54,sound,Galt14,"(0, 0)",
55,sound,Riktig1,"(0, 0)",
56,sound,Riktig2,"(0, 0)",
57,sound,Riktig3,"(0, 0)",
58,sound,Riktig4,"(0, 0)",
59,sound,Riktig5,"(0, 0)",
60,sound,Riktig6,"(0, 0)",
61,sound,Riktig7,"(0, 0)",
62,sound,Riktig8,"(0, 0)",
63,sound,Riktig9,"(0, 0)",
64,sound,Ferdig1,"(0, 0)",
65,sound,Ferdig2,"(0, 0)",
66,sound,Ferdig3,"(0, 0)",
67,sound,Ferdig4,"(0, 0)",
68,sound,Ferdig5,"(0, 0)",
69,sound,Ferdig6,"(0, 0)",
70,sound,Ferdig7,"(0, 0)",
71,bitmap,A01_01,"(43, 54)",
72,bitmap,A01_02,"(43, 54)",
73,bitmap,A01_03,"(43, 54)",
74,bitmap,A01_04,"(43, 54)",
75,bitmap,A01_05,"(43, 54)",
76,bitmap,A01_06,"(43, 54)",
77,bitmap,A01_07,"(43, 54)",
78,bitmap,A01_08,"(43, 54)",
79,bitmap,A01_09,"(43, 54)",
80,bitmap,A01_10,"(43, 54)",
81,bitmap,A02_01,"(43, 54)",
82,bitmap,A02_02,"(43, 54)",
83,bitmap,A02_03,"(43, 54)",
84,bitmap,A02_04,"(43, 54)",
85,bitmap,A02_05,"(43, 54)",
86,bitmap,A02_06,"(43, 54)",
87,bitmap,A02_07,"(43, 54)",
88,bitmap,A02_08,"(43, 54)",
89,bitmap,A02_09,"(43, 54)",
90,bitmap,A02_10,"(43, 54)",
91,bitmap,A03_01,"(43, 54)",
92,bitmap,A03_02,"(43, 54)",
93,bitmap,A03_03,"(43, 54)",
94,bitmap,A03_04,"(43, 54)",
95,bitmap,A03_05,"(43, 54)",
96,bitmap,A03_06,"(43, 54)",
97,bitmap,A03_07,"(43, 54)",
98,bitmap,A03_08,"(43, 54)",
99,bitmap,A03_09,"(43, 54)",
100,bitmap,A03_10,"(43, 54)",
101,bitmap,A04_01,"(43, 54)",
102,bitmap,A04_02,"(43, 54)",
103,bitmap,A04_03,"(43, 54)",
104,bitmap,A04_04,"(43, 54)",
105,bitmap,A04_05,"(43, 54)",
106,bitmap,A04_06,"(43, 54)",
107,bitmap,A04_07,"(43, 54)",
108,bitmap,A04_08,"(43, 54)",
109,bitmap,A04_09,"(43, 54)",
110,bitmap,A04_10,"(43, 54)",
111,bitmap,A05_01,"(43, 54)",
112,bitmap,A05_02,"(43, 54)",
113,bitmap,A05_03,"(43, 54)",
114,bitmap,A05_04,"(43, 54)",
115,bitmap,A05_05,"(43, 54)",
116,bitmap,A05_06,"(43, 54)",
117,bitmap,A05_07,"(43, 54)",
118,bitmap,A05_08,"(43, 54)",
119,bitmap,A05_09,"(43, 54)",
120,bitmap,A05_10,"(43, 54)",
121,bitmap,A06_01,"(43, 54)",
122,bitmap,A06_02,"(43, 54)",
123,bitmap,A06_03,"(43, 54)",
124,bitmap,A06_04,"(43, 54)",
125,bitmap,A06_05,"(43, 54)",
126,bitmap,A06_06,"(43, 54)",
127,bitmap,A06_07,"(43, 54)",
128,bitmap,A06_08,"(43, 54)",
129,bitmap,A06_09,"(43, 54)",
130,bitmap,A06_10,"(43, 54)",
131,bitmap,A07_01,"(43, 54)",
132,bitmap,A07_02,"(43, 54)",
133,bitmap,A07_03,"(43, 54)",
134,bitmap,A07_04,"(43, 54)",
135,bitmap,A07_05,"(43, 54)",
136,bitmap,A07_06,"(43, 54)",
137,bitmap,A07_07,"(43, 54)",
138,bitmap,A07_08,"(43, 54)",
139,bitmap,A07_09,"(43, 54)",
140,bitmap,A07_10,"(43, 54)",
141,bitmap,A08_01,"(43, 54)",
142,bitmap,A08_02,"(43, 54)",
143,bitmap,A08_03,"(43, 54)",
