01:	Picnic, dag.
02:	Inne i campingvogna.
03:	Fra Josefines kj¿kken.
04:	Josefine og hesten hennes.
05:	Josefine og Sofus
06:	Fra bokfink-eventyret
07:	Papirdukke, ark 1.
08:	Papirdukke, ark 2.
09:	Papirdukke, ark 3.
10:	Papirdukke, ark 4.
11:	Papirdukke, ark 5.
12:	Fantasidyr, ark 1.
13:	Fantasidyr, ark 2.
14:	Fantasidyr, ark 3.
15:	Firkort.
16:	Puslespill, picnic, dag.
17:	Puslespill, inne i campingvogna.
18:	Puslespill fra Josefines kj¿kken.
19:	Puslespill av Josefine og hesten hennes.
20:	Puslespill av Josefine og Sofus.
21:	Puslespill fra bokfink-eventyret.
22:	Brevpapir.
23:	Konvolutt med Josefine.
24:	Konvolutt med hest.
25:	Innbydelse.
26:	Flaskehalser.
27:	Bordkort.
28:
29:
30:
