Number,Type,Name,Registration Point,Filename
1,script,Frame 1,"(0, 0)",
2,script,Initialisering,"(0, 0)",
3,script,Div. procs.,"(0, 0)",
4,transition,,"(0, 0)",
5,script,,"(0, 0)",
6,script,Ask for help,"(0, 0)",
7,script,Go the frame,"(0, 0)",
8,script,Go previous,"(0, 0)",
9,script,Kall SkrivUtTegning(),"(0, 0)",
10,script,Go next,"(0, 0)",
11,bitmap,,"(320, 240)",
14,bitmap,ToQuit,"(22, 21)",
15,bitmap,,"(21, 21)",
16,bitmap,Help,"(22, 21)",
18,bitmap,Tilbake,"(23, 21)",
19,bitmap,,"(21, 21)",
20,bitmap,Frem,"(23, 21)",
21,text,Bildene,"(0, 0)",
30,bitmap,Ramme 01-06,"(211, 178)",
31,script,Param 01,"(0, 0)",
32,bitmap,PRINT01,"(227, 170)",
33,bitmap,P01D,"(30, 48)",
34,bitmap,P01F,"(30, 48)",
35,bitmap,P01N,"(30, 48)",
36,bitmap,P01S,"(30, 48)",
41,script,Param 02,"(0, 0)",
42,bitmap,PRINT02,"(227, 170)",
44,script,Param 03,"(0, 0)",
45,bitmap,PRINT03,"(227, 170)",
51,script,Param 04,"(0, 0)",
52,bitmap,PRINT04,"(227, 170)",
54,script,Param 05,"(0, 0)",
55,bitmap,PRINT05,"(227, 170)",
57,script,Param 06,"(0, 0)",
58,bitmap,PRINT06,"(227, 170)",
61,script,Param 07,"(0, 0)",
62,bitmap,PRINT07,"(159, 184)",
64,script,Param 08,"(0, 0)",
65,bitmap,PRINT08,"(125, 190)",
67,script,Param 09,"(0, 0)",
68,bitmap,PRINT09,"(110, 190)",
71,script,Param 10,"(0, 0)",
72,bitmap,PRINT10,"(115, 184)",
74,script,Param 11,"(0, 0)",
75,bitmap,PRINT11,"(127, 184)",
77,script,Param 12,"(0, 0)",
78,bitmap,PRINT12,"(132, 184)",
81,script,Param 13,"(0, 0)",
82,bitmap,PRINT13,"(227, 154)",
84,script,Param 14,"(0, 0)",
85,bitmap,PRINT14,"(212, 144)",
87,script,Param 15,"(0, 0)",
88,bitmap,PRINT15,"(217, 151)",
89,script,Skriv firkort,"(0, 0)",
91,script,Param 16,"(0, 0)",
92,bitmap,PRINT16,"(227, 170)",
93,bitmap,P16D,"(29, 48)",
94,bitmap,P16F,"(29, 48)",
95,bitmap,P16N,"(29, 48)",
96,bitmap,P16S,"(29, 48)",
101,script,Param 17,"(0, 0)",
102,bitmap,PRINT17,"(227, 170)",
104,script,Param 18,"(0, 0)",
105,bitmap,PRINT18,"(227, 170)",
107,script,Param 19,"(0, 0)",
108,bitmap,PRINT19,"(227, 170)",
111,script,Param 20,"(0, 0)",
112,bitmap,PRINT20,"(227, 170)",
114,script,Param 21,"(0, 0)",
115,bitmap,PRINT21,"(227, 170)",
117,script,Param 22,"(0, 0)",
118,bitmap,PRINT22,"(227, 159)",
121,script,Param 23,"(0, 0)",
122,bitmap,PRINT23,"(227, 164)",
124,script,Param 24,"(0, 0)",
125,bitmap,PRINT24,"(227, 164)",
131,script,Param 25,"(0, 0)",
132,bitmap,PRINT25,"(131, 190)",
133,bitmap,P25D,"(65, 190)",
134,bitmap,P25F,"(65, 190)",
135,bitmap,P25N,"(65, 190)",
136,bitmap,P25S,"(65, 190)",
141,script,Param 26,"(0, 0)",
142,bitmap,PRINT26,"(227, 159)",
144,script,Param 27,"(0, 0)",
145,bitmap,PRINT27,"(138, 190)",
147,script,Param 28,"(0, 0)",
148,bitmap,PRINT28,"(175, 190)",
151,script,Param 29,"(0, 0)",
152,bitmap,PRINT29,"(12, 12)",
154,script,Param 30,"(0, 0)",
155,bitmap,PRINT30,"(12, 12)",
157,script,Param 31,"(0, 0)",
158,bitmap,PRINT31,"(12, 12)",
161,script,Param 32,"(0, 0)",
162,bitmap,PRINT32,"(12, 12)",
164,script,Param 33,"(0, 0)",
165,bitmap,PRINT33,"(12, 12)",
167,script,Param 34,"(0, 0)",
168,bitmap,PRINT34,"(12, 12)",
171,script,Param 35,"(0, 0)",
172,bitmap,PRINT35,"(12, 12)",
193,sound,PRH_N01,"(0, 0)",E:\Projects\Josefine paa ferie decompiled\CD-Files\Installer Data\MOVIES\PR_\PRH_N01.AIF
194,sound,PRH_S01,"(0, 0)",E:\Projects\Josefine paa ferie decompiled\CD-Files\Installer Data\MOVIES\PR_\PRH_S01.AIF
199,sound,PR_N01,"(0, 0)",E:\Projects\Josefine paa ferie decompiled\CD-Files\Installer Data\MOVIES\PR_\PR_N01.AIF
200,sound,PR_N02,"(0, 0)",E:\Projects\Josefine paa ferie decompiled\CD-Files\Installer Data\MOVIES\PR_\PR_N02.AIF
201,sound,PR_S01,"(0, 0)",E:\Projects\Josefine paa ferie decompiled\CD-Files\Installer Data\MOVIES\PR_\PR_S01.AIF
202,sound,PR_S02,"(0, 0)",E:\Projects\Josefine paa ferie decompiled\CD-Files\Installer Data\MOVIES\PR_\PR_S02.AIF
