Number,Type,Name,Registration Point,Filename
1,script,Init. puslespill,"(0, 0)",
2,script,Init. MazePuzzle,"(0, 0)",
3,script,Initialisering,"(0, 0)",
4,script,Procs.,"(0, 0)",
5,script,Kall FlyttBrikke,"(0, 0)",
6,shape,,"(0, 0)",
7,script,Til labyrint,"(0, 0)",
8,script,Go the frame,"(0, 0)",
9,script,Go loop,"(0, 0)",
10,script,Play done,"(0, 0)",
11,shape,,"(0, 0)",
12,bitmap,Ramme06,"(220, 185)",
13,bitmap,Knapp09,"(76, 114)",
14,bitmap,Knapp12,"(82, 81)",
15,bitmap,Knapp20,"(67, 67)",
16,bitmap,Knapp30,"(44, 59)",
17,script,Start 9,"(0, 0)",
18,script,Start 12,"(0, 0)",
19,script,Start 20,"(0, 0)",
20,script,Start 30,"(0, 0)",
21,bitmap,Til picnic,"(21, 21)",
22,bitmap,,"(21, 21)",
23,bitmap,,"(23, 21)",
24,script,Bytt spill,"(0, 0)",
25,script,Neste spill,"(0, 0)",
26,sound,Plassert1,"(0, 0)",
27,sound,Plassert2,"(0, 0)",
28,sound,Plassert3,"(0, 0)",
29,sound,Plassert4,"(0, 0)",
30,script,Sound loop,"(0, 0)",
31,transition,,"(0, 0)",
32,script,Masing,"(0, 0)",
33,script,,"(0, 0)",
34,bitmap,,"(200, 165)",
37,bitmap,Biter09,"(200, 165)",
38,bitmap,12Biter,"(200, 165)",
39,bitmap,Biter20,"(200, 165)",
40,bitmap,Biter30,"(200, 165)",
41,bitmap,Bilde01,"(200, 165)",
42,bitmap,Bilde02,"(200, 165)",
43,bitmap,Bilde03,"(200, 165)",
44,bitmap,Bilde04,"(200, 165)",
45,bitmap,Bilde05,"(200, 165)",
46,bitmap,Bilde06,"(200, 165)",
47,bitmap,Bilde07,"(200, 165)",
48,bitmap,Bilde08,"(200, 165)",
49,bitmap,Bilde09,"(200, 165)",
50,bitmap,Bilde10,"(200, 165)",
51,sound,Ferdig1,"(0, 0)",
52,sound,Ferdig2,"(0, 0)",
53,sound,Ferdig3,"(0, 0)",
54,sound,Ferdig4,"(0, 0)",
61,bitmap,P01_09_1,"(88, 76)",
62,bitmap,P01_09_2,"(88, 55)",
63,bitmap,P01_09_3,"(67, 55)",
64,bitmap,P01_09_4,"(88, 55)",
65,bitmap,P01_09_5,"(88, 76)",
66,bitmap,P01_09_6,"(67, 97)",
67,bitmap,P01_09_7,"(67, 76)",
68,bitmap,P01_09_8,"(88, 76)",
69,bitmap,P01_09_9,"(88, 55)",
71,bitmap,P01_12_1,"(51, 55)",
72,bitmap,P01_12_2,"(82, 71)",
73,bitmap,P01_12_3,"(66, 55)",
74,bitmap,P01_12_4,"(50, 71)",
75,bitmap,P01_12_5,"(67, 87)",
76,bitmap,P01_12_6,"(66, 55)",
77,bitmap,P01_12_7,"(50, 87)",
78,bitmap,P01_12_8,"(66, 55)",
79,bitmap,P01_12_9,"(67, 55)",
80,bitmap,P01_12_10,"(50, 71)",
81,bitmap,P01_12_11,"(82, 55)",
82,bitmap,P01_12_12,"(50, 71)",
91,bitmap,P01_20_1,"(52, 54)",
92,bitmap,P01_20_2,"(40, 42)",
93,bitmap,P01_20_3,"(53, 42)",
94,bitmap,P01_20_4,"(65, 54)",
95,bitmap,P01_20_5,"(40, 42)",
96,bitmap,P01_20_6,"(40, 41)",
97,bitmap,P01_20_7,"(65, 66)",
98,bitmap,P01_20_8,"(53, 54)",
99,bitmap,P01_20_9,"(40, 41)",
100,bitmap,P01_20_10,"(53, 66)",
101,bitmap,P01_20_11,"(52, 54)",
102,bitmap,P01_20_12,"(53, 54)",
103,bitmap,P01_20_13,"(40, 67)",
104,bitmap,P01_20_14,"(53, 54)",
105,bitmap,P01_20_15,"(53, 42)",
106,bitmap,P01_20_16,"(40, 53)",
107,bitmap,P01_20_17,"(53, 41)",
108,bitmap,P01_20_18,"(65, 41)",
109,bitmap,P01_20_19,"(40, 53)",
110,bitmap,P01_20_20,"(53, 53)",
111,bitmap,P01_30_1,"(33, 44)",
112,bitmap,P01_30_2,"(44, 33)",
113,bitmap,P01_30_3,"(54, 44)",
114,bitmap,P01_30_4,"(44, 33)",
115,bitmap,P01_30_5,"(33, 44)",
116,bitmap,P01_30_6,"(44, 33)",
117,bitmap,P01_30_7,"(44, 33)",
118,bitmap,P01_30_8,"(34, 54)",
119,bitmap,P01_30_9,"(54, 33)",
120,bitmap,P01_30_10,"(44, 54)",
121,bitmap,P01_30_11,"(44, 33)",
122,bitmap,P01_30_12,"(34, 54)",
123,bitmap,P01_30_13,"(33, 43)",
124,bitmap,P01_30_14,"(44, 33)",
125,bitmap,P01_30_15,"(54, 54)",
126,bitmap,P01_30_16,"(34, 33)",
127,bitmap,P01_30_17,"(44, 54)",
128,bitmap,P01_30_18,"(44, 43)",
129,bitmap,P01_30_19,"(44, 54)",
130,bitmap,P01_30_20,"(34, 44)",
131,bitmap,P01_30_21,"(44, 44)",
132,bitmap,P01_30_22,"(44, 44)",
133,bitmap,P01_30_23,"(54, 44)",
134,bitmap,P01_30_24,"(34, 33)",
135,bitmap,P01_30_25,"(33, 33)",
136,bitmap,P01_30_26,"(44, 44)",
137,bitmap,P01_30_27,"(44, 33)",
138,bitmap,P01_30_28,"(55, 44)",
139,bitmap,P01_30_29,"(33, 33)",
140,bitmap,P01_30_30,"(44, 44)",
141,bitmap,P02_09_1,"(88, 76)",
142,bitmap,P02_09_2,"(88, 55)",
143,bitmap,P02_09_3,"(67, 55)",
144,bitmap,P02_09_4,"(88, 55)",
145,bitmap,P02_09_5,"(88, 76)",
146,bitmap,P02_09_6,"(67, 97)",
147,bitmap,P02_09_7,"(67, 76)",
148,bitmap,P02_09_8,"(88, 76)",
149,bitmap,P02_09_9,"(88, 55)",
151,bitmap,P02_12_1,"(51, 55)",
152,bitmap,P02_12_2,"(82, 71)",
153,bitmap,P02_12_3,"(66, 55)",
154,bitmap,P02_12_4,"(50, 71)",
155,bitmap,P02_12_5,"(67, 87)",
156,bitmap,P02_12_6,"(66, 55)",
157,bitmap,P02_12_7,"(50, 87)",
158,bitmap,P02_12_8,"(66, 55)",
159,bitmap,P02_12_9,"(67, 55)",
160,bitmap,P02_12_10,"(50, 71)",
161,bitmap,P02_12_11,"(82, 55)",
162,bitmap,P02_12_12,"(50, 71)",
171,bitmap,P02_20_1,"(52, 54)",
172,bitmap,P02_20_2,"(40, 42)",
173,bitmap,P02_20_3,"(53, 42)",
174,bitmap,P02_20_4,"(65, 54)",
175,bitmap,P02_20_5,"(40, 42)",
176,bitmap,P02_20_6,"(40, 41)",
177,bitmap,P02_20_7,"(65, 66)",
178,bitmap,P02_20_8,"(53, 54)",
179,bitmap,P02_20_9,"(40, 41)",
180,bitmap,P02_20_10,"(53, 66)",
181,bitmap,P02_20_11,"(52, 54)",
182,bitmap,P02_20_12,"(53, 54)",
183,bitmap,P02_20_13,"(40, 67)",
184,bitmap,P02_20_14,"(53, 54)",
185,bitmap,P02_20_15,"(53, 42)",
186,bitmap,P02_20_16,"(40, 53)",
187,bitmap,P02_20_17,"(53, 41)",
188,bitmap,P02_20_18,"(65, 41)",
189,bitmap,P02_20_19,"(40, 53)",
190,bitmap,P02_20_20,"(53, 53)",
191,bitmap,P02_30_1,"(33, 44)",
192,bitmap,P02_30_2,"(44, 33)",
193,bitmap,P02_30_3,"(54, 44)",
194,bitmap,P02_30_4,"(44, 33)",
195,bitmap,P02_30_5,"(33, 44)",
196,bitmap,P02_30_6,"(44, 33)",
197,bitmap,P02_30_7,"(44, 33)",
198,bitmap,P02_30_8,"(34, 54)",
199,bitmap,P02_30_9,"(54, 33)",
200,bitmap,P02_30_10,"(44, 54)",
201,bitmap,P02_30_11,"(44, 33)",
202,bitmap,P02_30_12,"(34, 54)",
203,bitmap,P02_30_13,"(33, 43)",
204,bitmap,P02_30_14,"(44, 33)",
205,bitmap,P02_30_15,"(54, 54)",
206,bitmap,P02_30_16,"(34, 33)",
207,bitmap,P02_30_17,"(44, 54)",
208,bitmap,P02_30_18,"(44, 43)",
209,bitmap,P02_30_19,"(44, 54)",
210,bitmap,P02_30_20,"(34, 44)",
211,bitmap,P02_30_21,"(44, 44)",
212,bitmap,P02_30_22,"(44, 44)",
213,bitmap,P02_30_23,"(54, 44)",
214,bitmap,P02_30_24,"(34, 33)",
215,bitmap,P02_30_25,"(33, 33)",
216,bitmap,P02_30_26,"(44, 44)",
217,bitmap,P02_30_27,"(44, 33)",
218,bitmap,P02_30_28,"(55, 44)",
219,bitmap,P02_30_29,"(33, 33)",
220,bitmap,P02_30_30,"(44, 44)",
221,bitmap,P03_09_1,"(88, 76)",
222,bitmap,P03_09_2,"(88, 55)",
223,bitmap,P03_09_3,"(67, 55)",
224,bitmap,P03_09_4,"(88, 55)",
225,bitmap,P03_09_5,"(88, 76)",
226,bitmap,P03_09_6,"(67, 97)",
227,bitmap,P03_09_7,"(67, 76)",
228,bitmap,P03_09_8,"(88, 76)",
229,bitmap,P03_09_9,"(88, 55)",
231,bitmap,P03_12_1,"(51, 55)",
232,bitmap,P03_12_2,"(82, 71)",
233,bitmap,P03_12_3,"(66, 55)",
234,bitmap,P03_12_4,"(50, 71)",
235,bitmap,P03_12_5,"(67, 87)",
236,bitmap,P03_12_6,"(66, 55)",
237,bitmap,P03_12_7,"(50, 87)",
238,bitmap,P03_12_8,"(66, 55)",
239,bitmap,P03_12_9,"(67, 55)",
240,bitmap,P03_12_10,"(50, 71)",
241,bitmap,P03_12_11,"(82, 55)",
242,bitmap,P03_12_12,"(50, 71)",
251,bitmap,P03_20_1,"(52, 54)",
252,bitmap,P03_20_2,"(40, 42)",
253,bitmap,P03_20_3,"(53, 42)",
254,bitmap,P03_20_4,"(65, 54)",
255,bitmap,P03_20_5,"(40, 42)",
256,bitmap,P03_20_6,"(40, 41)",
257,bitmap,P03_20_7,"(65, 66)",
258,bitmap,P03_20_8,"(53, 54)",
259,bitmap,P03_20_9,"(40, 41)",
260,bitmap,P03_20_10,"(53, 66)",
261,bitmap,P03_20_11,"(52, 54)",
262,bitmap,P03_20_12,"(53, 54)",
