Number,Type,Name,Registration Point,Filename
1,script,Frame 1,"(0, 0)",
2,script,PuppetSound,"(0, 0)",
3,script,Sound loop,"(0, 0)",
4,script,Flytt tekst,"(0, 0)",
5,script,Flytt tittel,"(0, 0)",
6,script,Vent på rulletekst,"(0, 0)",
7,script,Slå av puppets,"(0, 0)",
8,bitmap,,"(97, 87)",
9,script,"To ""Pinjatalogo""","(0, 0)",
10,script,Quit,"(0, 0)",
11,shape,Avbryt,"(0, 0)",
12,bitmap,,"(202, 237)",
13,bitmap,Blink2,"(95, 49)",
14,filmLoop,Vinking,"(56, 62)",
15,filmLoop,Vinking 2,"(56, 62)",
16,bitmap,MVink,"(47, 56)",
17,bitmap,VVink,"(54, 60)",
18,bitmap,HVink,"(48, 55)",
19,bitmap,Snakk,"(92, 37)",
20,sound,SLUTT,"(0, 0)",
21,bitmap,TittelN,"(0, 0)",
22,bitmap,KredittN,"(0, 0)",
23,bitmap,TittelS,"(0, 0)",
24,bitmap,KredittS,"(0, 0)",
25,bitmap,TittelD,"(0, 0)",
26,bitmap,KredittD,"(0, 0)",
27,bitmap,TittelF,"(0, 0)",
28,bitmap,KredittF,"(0, 0)",
29,filmLoop,Blinking,"(95, 49)",
31,shape,,"(0, 0)",
32,bitmap,,"(141, 56)",
33,bitmap,,"(124, 52)",
34,bitmap,,"(127, 45)",
35,bitmap,,"(127, 45)",
36,bitmap,,"(121, 50)",
37,bitmap,,"(20, 18)",
38,bitmap,,"(124, 45)",
39,bitmap,,"(27, 19)",
40,bitmap,,"(128, 52)",
41,bitmap,,"(32, 29)",
42,bitmap,,"(138, 49)",
43,bitmap,,"(106, 18)",
44,sound,PINJATA,"(0, 0)",
45,bitmap,TittelE,"(0, 0)",
46,bitmap,KredittE,"(0, 0)",
47,script,,"(0, 0)",
59,sound,QU_N01,"(0, 0)",E:\Projects\Josefine paa ferie decompiled\CD-Files\Installer Data\MOVIES\QU_\QU_N01.AIF
60,sound,QU_N02,"(0, 0)",E:\Projects\Josefine paa ferie decompiled\CD-Files\Installer Data\MOVIES\QU_\QU_N02.AIF
61,sound,QU_N03,"(0, 0)",E:\Projects\Josefine paa ferie decompiled\CD-Files\Installer Data\MOVIES\QU_\QU_N03.AIF
62,sound,QU_N04,"(0, 0)",E:\Projects\Josefine paa ferie decompiled\CD-Files\Installer Data\MOVIES\QU_\QU_N04.AIF
63,sound,QU_S01,"(0, 0)",E:\Projects\Josefine paa ferie decompiled\CD-Files\Installer Data\MOVIES\QU_\QU_S01.AIF
64,sound,QU_S02,"(0, 0)",E:\Projects\Josefine paa ferie decompiled\CD-Files\Installer Data\MOVIES\QU_\QU_S02.AIF
65,sound,QU_S03,"(0, 0)",E:\Projects\Josefine paa ferie decompiled\CD-Files\Installer Data\MOVIES\QU_\QU_S03.AIF
66,sound,QU_S04,"(0, 0)",E:\Projects\Josefine paa ferie decompiled\CD-Files\Installer Data\MOVIES\QU_\QU_S04.AIF
