Number,Type,Name,Registration Point,Filename
1,bitmap,Natt,"(320, 240)",
2,filmLoop,Stars,"(204, 30)",
3,bitmap,,"(3, 3)",
4,bitmap,,"(3, 3)",
5,bitmap,,"(3, 3)",
6,filmLoop,Ild-loop,"(47, 60)",
7,bitmap,,"(47, 59)",
8,bitmap,,"(46, 53)",
9,bitmap,,"(45, 46)",
10,bitmap,,"(47, 59)",
11,bitmap,,"(45, 46)",
12,bitmap,,"(46, 53)",
13,script,Go loop,"(0, 0)",
14,script,Play done,"(0, 0)",
15,script,Initialisering,"(0, 0)",
16,script,Sound loop,"(0, 0)",
17,script,Abort,"(0, 0)",
18,bitmap,,"(18, 15)",
19,bitmap,,"(46, 78)",
20,bitmap,Kroppen,"(39, 41)",
21,filmLoop,Synger (ny),"(44, 40)",
22,filmLoop,Uten sang,"(44, 38)",
23,bitmap,HH,"(33, 38)",
24,bitmap,syng h.,"(19, 5)",
25,bitmap,hode frem,"(44, 38)",
26,bitmap,blunk frem,"(25, 10)",
27,bitmap,syng frem,"(26, 11)",
28,filmLoop,Side-blinkers,"(21, 9)",
29,bitmap,ser h.,"(21, 8)",
30,bitmap,,"(19, 9)",
31,filmLoop,OppOgNed,"(18, 21)",
32,bitmap,Opp,"(18, 15)",
33,bitmap,Ned,"(17, 21)",
34,filmLoop,Akkord,"(9, 12)",
35,filmLoop,Akkord (ny),"(9, 12)",
36,bitmap,,"(9, 12)",
37,bitmap,,"(9, 12)",
38,bitmap,,"(9, 12)",
39,bitmap,,"(9, 12)",
40,bitmap,,"(9, 12)",
41,bitmap,Grep,"(11, 7)",
42,bitmap,Gitar,"(71, 42)",
43,bitmap,,"(14, 4)",
44,filmLoop,Trist sang (ny),"(44, 40)",
45,filmLoop,Trist uten sang,"(44, 38)",
46,bitmap,HT,"(33, 38)",
47,bitmap,,"(18, 7)",
48,bitmap,,"(22, 8)",
49,bitmap,,"(44, 38)",
50,bitmap,,"(26, 11)",
51,script,"Vent ""Cue1""","(0, 0)",
52,script,"Vent ""Cue2""","(0, 0)",
53,script,"Vent ""Cue3""","(0, 0)",
54,script,"Vent ""Cue4""","(0, 0)",
55,script,"Vent ""Cue5""","(0, 0)",
56,script,"Vent ""Cue6""","(0, 0)",
57,script,"Vent ""Cue7""","(0, 0)",
58,script,"Vent ""Cue8""","(0, 0)",
59,filmLoop,Flaggermus,"(72, 96)",
60,filmLoop,Muggerflas,"(72, 45)",
61,bitmap,,"(30, 16)",
62,bitmap,,"(31, 11)",
63,bitmap,,"(33, 8)",
64,bitmap,,"(29, 10)",
65,bitmap,,"(23, 13)",
66,bitmap,,"(10, 17)",
67,bitmap,,"(29, 15)",
68,bitmap,,"(26, 9)",
69,bitmap,,"(25, 6)",
70,bitmap,,"(20, 6)",
71,bitmap,,"(14, 8)",
72,bitmap,,"(5, 8)",
73,bitmap,,"(5, 8)",
74,bitmap,,"(7, 5)",
75,bitmap,,"(5, 6)",
76,bitmap,,"(5, 4)",
77,bitmap,,"(13, 3)",
78,bitmap,,"(15, 3)",
79,bitmap,,"(15, 4)",
80,bitmap,,"(14, 4)",
81,filmLoop,Edderkopp,"(167, 35)",
82,bitmap,,"(35, 28)",
83,bitmap,,"(20, 12)",
84,bitmap,,"(18, 13)",
85,bitmap,,"(16, 13)",
86,bitmap,,"(25, 33)",
87,filmLoop,Heksa,"(84, 26)",
88,bitmap,,"(25, 20)",
89,script,,"(0, 0)",
90,filmLoop,Ugle-film,"(29, 44)",
91,bitmap,,"(24, 31)",
92,bitmap,,"(24, 31)",
93,bitmap,,"(25, 31)",
94,bitmap,,"(24, 31)",
95,bitmap,,"(24, 31)",
96,bitmap,,"(25, 31)",
97,bitmap,,"(25, 31)",
98,bitmap,,"(25, 31)",
99,bitmap,,"(27, 31)",
100,bitmap,,"(29, 31)",
101,bitmap,,"(29, 31)",
102,bitmap,,"(29, 32)",
103,bitmap,,"(29, 35)",
104,bitmap,,"(29, 38)",
105,bitmap,,"(29, 41)",
106,bitmap,,"(29, 44)",
111,filmLoop,Spøkelse,"(58, 69)",
112,bitmap,,"(55, 43)",
113,bitmap,,"(15, 6)",
114,bitmap,,"(13, 7)",
115,bitmap,,"(34, 34)",
116,bitmap,,"(34, 34)",
117,bitmap,,"(34, 34)",
118,bitmap,,"(34, 34)",
119,filmLoop,Spøkelse (blend60),"(58, 69)",
121,bitmap,,"(320, 240)",
122,script,Init. hestesang.,"(0, 0)",
128,sound,SOX_01,"(0, 0)",E:\Projects\Josefine paa ferie decompiled\CD-Files\Installer Data\MOVIES\SO_\SOX_01.aif
