Number,Type,Name,Registration Point,Filename
1,script,Frame 1,"(0, 0)",
2,script,Play done,"(0, 0)",
3,script,,"(0, 0)",
4,script,,"(0, 0)",
8,script,Abort,"(0, 0)",
9,script,Sound loop,"(0, 0)",
10,script,Wait in frame,"(0, 0)",
11,script,Load 1,"(0, 0)",
12,script,Sound 11,"(0, 0)",
13,bitmap,B1,"(320, 240)",
14,bitmap,G1,"(127, 121)",
15,bitmap,G2,"(125, 121)",
16,bitmap,G3,"(122, 124)",
17,bitmap,G4,"(124, 122)",
18,bitmap,L1,"(27, 54)",
19,bitmap,L2,"(30, 43)",
20,bitmap,L3,"(36, 42)",
21,bitmap,,"(26, 45)",
22,bitmap,lite,"(34, 41)",
23,bitmap,SerHit,"(19, 6)",
24,bitmap,BlunkHit,"(19, 7)",
25,filmLoop,rosa loop,"(17, 17)",
26,bitmap,rosa3,"(17, 17)",
27,bitmap,rosa2,"(13, 17)",
28,bitmap,rosa1,"(16, 16)",
29,filmLoop,gul loop,"(12, 13)",
30,bitmap,gul3,"(12, 13)",
31,bitmap,gul2,"(10, 10)",
32,bitmap,gul1,"(8, 9)",
33,sound,HESTGAAR,"(0, 0)",
34,script,Stop sound 2,"(0, 0)",
41,script,Load 2,"(0, 0)",
42,script,Sound 12,"(0, 0)",
43,bitmap,B2,"(320, 240)",
44,bitmap,Liten stille,"(144, 133)",
45,bitmap,liten,"(32, 20)",
46,bitmap,l.rett sov,"(11, 9)",
47,bitmap,,"(112, 129)",
48,bitmap,oops!,"(10, 9)",
49,bitmap,l.brett,"(49, 14)",
50,bitmap,Uten brett (liten),"(47, 76)",
51,bitmap,l.opp,"(35, 96)",
52,bitmap,,"(49, 14)",
53,bitmap,MotHoeyre,"(47, 77)",
54,bitmap,,"(18, 7)",
55,bitmap,,"(18, 7)",
56,bitmap,lite2,"(34, 41)",
57,sound,RULL_HV,"(0, 0)",
58,sound,RULL_VH,"(0, 0)",
61,script,Load 3,"(0, 0)",
62,script,Sound 13,"(0, 0)",
63,bitmap,Bremser,"(43, 30)",
64,bitmap,,"(19, 25)",
65,bitmap,,"(18, 16)",
66,bitmap,,"(21, 11)",
67,bitmap,LitenUtenArmer,"(46, 76)",
71,script,Load 4,"(0, 0)",
72,script,Sound 14,"(0, 0)",
73,bitmap,StorBG,"(320, 240)",
74,bitmap,HestScene2,"(170, 170)",
75,bitmap,,"(37, 60)",
76,bitmap,,"(20, 11)",
77,bitmap,s.blunk,"(18, 20)",
78,bitmap,StorForpart,"(33, 80)",
79,bitmap,s.opp,"(50, 137)",
80,bitmap,s.brett opp,"(28, 70)",
81,bitmap,s.taus,"(20, 11)",
82,bitmap,s.sov opp,"(11, 12)",
83,bitmap,SofusPrater,"(15, 19)",
84,bitmap,SofusTaus,"(15, 13)",
91,script,Load 5,"(0, 0)",
92,script,Sound 15,"(0, 0)",
93,bitmap,SnuSeg,"(49, 60)",
94,bitmap,s.snakk,"(21, 17)",
95,bitmap,s.åpen,"(33, 18)",
96,bitmap,s.natta,"(26, 10)",
97,bitmap,Spark1,"(102, 85)",
98,bitmap,Spark2,"(57, 85)",
99,bitmap,Spark3,"(39, 89)",
100,bitmap,Spark4,"(64, 87)",
101,script,Sound 16,"(0, 0)",
102,script,Load 7,"(0, 0)",
103,script,Sound 17,"(0, 0)",
104,bitmap,Beitemark,"(320, 240)",
105,bitmap,,"(313, 306)",
106,bitmap,,"(144, 126)",
107,bitmap,s.åpen sov,"(21, 26)",
108,bitmap,s.luk.sov,"(18, 27)",
109,bitmap,,"(72, 113)",
110,bitmap,s.tygg,"(73, 113)",
111,bitmap,Tygg2,"(79, 119)",
113,script,Load 8,"(0, 0)",
114,script,Sound 18,"(0, 0)",
115,bitmap,TilSnakk,"(320, 240)",
116,bitmap,,"(276, 270)",
117,bitmap,,"(71, 35)",
118,bitmap,JSnakking,"(70, 24)",
119,script,Load 9,"(0, 0)",
120,script,Sound 19,"(0, 0)",
121,script,Load 10,"(0, 0)",
122,script,Sound 20,"(0, 0)",
123,bitmap,BakSofus,"(320, 240)",
124,bitmap,,"(156, 240)",
125,bitmap,,"(37, 50)",
126,bitmap,,"(31, 32)",
127,bitmap,Blunk_i_10,"(26, 29)",
128,script,Load 10B,"(0, 0)",
129,bitmap,Oeyne10B,"(25, 8)",
130,bitmap,StortBrett,"(70, 20)",
131,bitmap,SofusUtenBrett,"(67, 109)",
132,bitmap,,"(53, 61)",
133,bitmap,Hale_i_10,"(42, 63)",
135,script,Load 11,"(0, 0)",
136,script,Sound 21,"(0, 0)",
140,sound,PLING.AIF,"(0, 0)",
141,script,Load 12,"(0, 0)",
142,script,Sound 22,"(0, 0)",
143,bitmap,BakJosefine,"(320, 240)",
144,bitmap,,"(302, 269)",
145,bitmap,,"(132, 140)",
146,bitmap,,"(115, 104)",
147,bitmap,,"(95, 110)",
148,bitmap,,"(45, 17)",
149,bitmap,Blunk_i_12,"(51, 25)",
150,script,Sound 23,"(0, 0)",
151,script,Load 14,"(0, 0)",
152,script,Sound 24,"(0, 0)",
153,bitmap,StorSofus_i_14,"(236, 243)",
154,bitmap,,"(65, 25)",
155,bitmap,,"(65, 25)",
156,bitmap,,"(58, 26)",
157,bitmap,,"(60, 24)",
