Number,Type,Name,Registration Point,Filename
1,script,Check quit,"(0, 0)",
2,script,RectOfSprite,"(0, 0)",
3,script,WaitForNTicks,"(0, 0)",
4,script,SoundFade,"(0, 0)",
5,script,Talking,"(0, 0)",
6,script,PuppetOffAndVisible,"(0, 0)",
7,script,Fake sprite,"(0, 0)",
8,bitmap,FakeDot,"(1, 1)",
9,script,Printer,"(0, 0)",
10,transition,,"(0, 0)",
11,field,TheCopyrightTextD,"(0, 0)",
12,field,TheCopyrightTextF,"(0, 0)",
13,field,TheCopyrightTextN,"(0, 0)",
14,field,TheCopyrightTextS,"(0, 0)",
15,field,TheCopyrightTextE,"(0, 0)",
16,script,Skriv sangtekst.,"(0, 0)",
20,bitmap,LitenLogo,"(25, 13)",
21,bitmap,LeftArrow,"(0, 7)",
22,bitmap,LeftArrowMask,"(0, 7)",
23,bitmap,RightArrow,"(15, 7)",
24,bitmap,RightArrowMask,"(15, 7)",
25,bitmap,LeftEnd,"(0, 7)",
26,bitmap,LeftEndMask,"(8, 7)",
27,bitmap,RightEnd,"(15, 7)",
28,bitmap,RightEndMask,"(15, 7)",
31,bitmap,Hand1,"(8, 8)",
32,bitmap,Mask1,"(8, 8)",
33,bitmap,Hand2,"(3, 0)",
34,bitmap,Mask2,"(3, 0)",
35,bitmap,Hand3,"(5, 1)",
36,bitmap,Mask3,"(5, 1)",
