Number,Type,Name,Registration Point,Filename
1,script,Scene 1,"(0, 0)",
2,bitmap,B1,"(320, 240)",
3,script,,"(0, 0)",
7,script,Wait sound 1,"(0, 0)",
8,script,Sound loop 1,"(0, 0)",
9,script,Abort,"(0, 0)",
10,script,Play done,"(0, 0)",
11,script,Load 2,"(0, 0)",
12,script,Scene 2,"(0, 0)",
13,bitmap,B2,"(320, 240)",
14,bitmap,,"(49, 51)",
15,bitmap,,"(50, 42)",
16,bitmap,,"(49, 37)",
17,bitmap,,"(49, 32)",
18,bitmap,,"(119, 85)",
19,bitmap,,"(119, 89)",
20,bitmap,,"(49, 51)",
21,bitmap,,"(50, 42)",
22,bitmap,,"(49, 37)",
23,bitmap,,"(49, 32)",
24,bitmap,,"(1, 1)",
25,bitmap,Siste_i_2,"(2, 2)",
31,script,Load 3,"(0, 0)",
32,script,Scene 3,"(0, 0)",
33,bitmap,B3,"(320, 240)",
41,script,Load 4,"(0, 0)",
42,script,Scene 4,"(0, 0)",
43,bitmap,B4,"(187, 106)",
44,bitmap,,"(31, 13)",
45,bitmap,,"(24, 61)",
46,bitmap,,"(24, 61)",
47,bitmap,,"(24, 61)",
48,bitmap,,"(24, 61)",
49,bitmap,,"(24, 61)",
50,bitmap,,"(24, 61)",
51,bitmap,,"(24, 61)",
52,bitmap,,"(24, 61)",
53,bitmap,,"(24, 61)",
54,bitmap,,"(24, 61)",
55,bitmap,,"(24, 61)",
56,bitmap,,"(24, 61)",
57,bitmap,,"(23, 61)",
58,bitmap,,"(20, 61)",
59,bitmap,,"(20, 61)",
60,bitmap,,"(20, 61)",
61,bitmap,,"(20, 61)",
62,bitmap,,"(23, 22)",
63,bitmap,,"(23, 22)",
64,bitmap,,"(23, 22)",
65,bitmap,,"(23, 22)",
66,bitmap,Siste_i_4,"(320, 240)",
71,script,Load 5,"(0, 0)",
72,script,Scene 5,"(0, 0)",
73,bitmap,B5,"(320, 240)",
74,bitmap,,"(166, 100)",
75,bitmap,,"(151, 106)",
76,bitmap,,"(138, 112)",
77,bitmap,,"(173, 96)",
78,bitmap,,"(285, 100)",
79,bitmap,Siste_i_5,"(291, 86)",
80,sound,VIND1NY,"(0, 0)",
81,script,Load 6,"(0, 0)",
82,script,Scene 6,"(0, 0)",
83,bitmap,B6,"(320, 240)",
84,bitmap,Blad1,"(5, 7)",
85,bitmap,Blad2,"(8, 5)",
86,bitmap,Blad3,"(6, 6)",
87,bitmap,Blad4,"(6, 7)",
88,bitmap,Blad5,"(11, 4)",
89,bitmap,Blad6,"(7, 7)",
90,bitmap,Blad7,"(5, 7)",
91,bitmap,,"(31, 13)",
92,bitmap,,"(14, 16)",
93,bitmap,,"(13, 16)",
94,bitmap,,"(13, 16)",
95,bitmap,,"(13, 16)",
96,bitmap,,"(13, 16)",
97,bitmap,,"(14, 16)",
98,bitmap,,"(21, 17)",
