Number,Type,Name,Registration Point,Filename
1,script,Frame 1,"(0, 0)",
2,script,"Til ""Dag""","(0, 0)",
3,script,Init. PICNIC,"(0, 0)",
4,transition,,"(0, 0)",
5,script,DAG-procs.,"(0, 0)",
6,script,NATT-procs.,"(0, 0)",
7,script,INNE-procs.,"(0, 0)",
8,script,Utskrift,"(0, 0)",
9,script,Panel-procs.,"(0, 0)",
10,script,Scrolling,"(0, 0)",
11,script,Kall InitDag(),"(0, 0)",
12,script,Kall ExitDag(),"(0, 0)",
13,script,Kall InitNatt(),"(0, 0)",
14,script,Kall ExitNatt(),"(0, 0)",
15,script,Kall InitInne(),"(0, 0)",
16,script,Kall ExitInne(),"(0, 0)",
17,shape,PanelRect,"(0, 0)",
18,bitmap,Kontrollpanel,"(321, 25)",
19,bitmap,,"(22, 21)",
20,bitmap,,"(21, 21)",
21,script,"Tilkake til ""Dag""","(0, 0)",
22,script,"Tilkake til ""Natt""","(0, 0)",
23,script,"Tilkake til ""Inne""","(0, 0)",
24,script,Dag-frame,"(0, 0)",
25,script,Dag-loop,"(0, 0)",
26,script,Natt-frame,"(0, 0)",
27,script,Inne-frame,"(0, 0)",
28,script,Loop,"(0, 0)",
29,script,Go loop,"(0, 0)",
30,script,Go the frame,"(0, 0)",
31,field,PicnicCopyrightTextD,"(0, 0)",
32,field,PicnicCopyrightTextE,"(0, 0)",
33,field,PicnicCopyrightTextF,"(0, 0)",
34,field,PicnicCopyrightTextN,"(0, 0)",
35,field,PicnicCopyrightTextS,"(0, 0)",
36,bitmap,Dag.gml,"(500, 240)",
37,bitmap,,"(30, 19)",
38,script,Sound loop (-1),"(0, 0)",
39,script,Sound loop++,"(0, 0)",
40,script,Sound loop++ (2),"(0, 0)",
41,bitmap,Dag.ny,"(500, 240)",
42,shape,ScrollRect,"(0, 0)",
43,bitmap,SkiltN,"(28, 13)",
44,bitmap,SkiltD,"(28, 13)",
45,bitmap,SkiltE,"(28, 13)",
46,bitmap,SkiltF,"(28, 13)",
47,bitmap,SkiltS,"(28, 13)",
48,script,,"(0, 0)",
49,sound,BIRDS.AIF,"(0, 0)",
50,sound,HORSE.AIF,"(0, 0)",
51,bitmap,Bit.save,"(116, 89)",
52,bitmap,,"(49, 91)",
53,bitmap,,"(46, 78)",
